CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Male,1,Yes,No,6,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,70.32,415.78,Yes
2,Female,0,No,No,34,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No,Two year,No,Mailed check,66.48,2287.7,Yes
3,Male,0,No,No,54,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,119.75,6464.53,No
4,Male,0,No,No,13,No,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,No,Mailed check,69.35,918.08,No
5,Male,0,No,Yes,9,No,No phone service,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,37.84,336.05,No
6,Female,0,Yes,Yes,15,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,71.31,1102.98,Yes
7,Male,1,No,No,53,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Electronic check,101.4,5360.63,No
8,Male,0,Yes,Yes,69,No,Yes,No,Yes,No,Yes,No internet service,No,No,Two year,No,Bank transfer,97.69,6728.33,No
9,Male,1,Yes,No,43,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Electronic check,98.86,4281.47,No
10,Female,1,Yes,Yes,44,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card,90.8,3986.3,Yes
11,Male,0,Yes,No,55,No,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,45.42,2530.12,No
12,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Bank transfer,106.21,5965.6,Yes
13,Male,1,No,Yes,20,No,No,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Electronic check,109.34,2183.71,No
14,Male,0,No,Yes,67,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,One year,Yes,Credit card,39.42,2604.87,No
15,Female,0,No,No,49,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,No,Mailed check,33.05,1619.06,No
16,Male,1,No,No,32,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Mailed check,117.56,3763.95,No
17,Female,1,Yes,Yes,6,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.83,664.32,No
18,Female,0,No,Yes,69,No,No phone service,No,No,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card,109.32,7574.85,No
19,Female,1,Yes,No,14,No,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,108.64,1507.26,No
20,Male,0,No,Yes,31,Yes,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,74.17,2315.29,No
21,Female,0,Yes,No,19,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer,84.64,1623.47,No
22,Male,0,Yes,No,14,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.54,1065.03,No
23,Female,1,No,No,47,No,Yes,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,25.12,1190.61,No
24,Female,1,Yes,No,70,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card,94.55,6579.65,Yes
25,Female,1,Yes,Yes,20,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Credit card,70.53,1407.49,Yes
26,Female,1,No,Yes,41,Yes,No phone service,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Bank transfer,84.77,3452.46,Yes
27,Female,1,Yes,Yes,25,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card,70.26,1752.45,No
28,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,69.18,918.94,Yes
29,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,37.18,2088.18,No
30,Female,0,No,Yes,36,No,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,No,Bank transfer,47.87,1746.28,No
